HUD frame time nsec:,16641000

Range Index,Elapsed Time, First Event,Last Event
0,9280,5,5
1,78368,24,24
2,126336,60,60
3,15328,94,94
4,672,126,126
5,672,144,144
6,672,162,162
7,704,180,180
8,704,198,198
9,672,216,216
10,672,234,234
11,672,252,252
12,704,270,270
13,672,288,288
14,640,306,306
15,640,324,324
16,704,342,342
17,672,360,360
18,672,378,378
19,672,396,396
20,672,414,414
21,672,432,432
22,672,450,450
23,672,468,468
24,672,486,486
25,672,504,504
26,672,522,522
27,896,540,540
28,672,558,558
29,672,576,576
30,672,594,594
31,672,612,612
32,672,630,630
33,672,648,648
34,672,666,666
35,672,684,684
36,672,702,702
37,672,720,720
38,704,738,738
39,672,756,756
40,672,774,774
41,672,792,792
42,672,810,810
43,672,828,828
44,672,846,846
45,704,864,864
46,672,882,882
47,672,900,900
48,672,918,918
49,672,936,936
50,672,954,954
51,704,972,972
52,704,990,990
53,672,1008,1008
54,672,1026,1026
55,640,1044,1044
56,736,1062,1062
57,672,1080,1080
58,672,1098,1098
59,672,1116,1116
60,672,1134,1134
61,640,1152,1152
62,768,1170,1170
63,672,1188,1188
64,704,1206,1206
65,672,1224,1224
66,672,1242,1242
67,672,1260,1260
68,672,1278,1278
69,672,1296,1296
70,672,1314,1314
71,672,1332,1332
72,672,1350,1350
73,704,1368,1368
74,672,1386,1386
75,672,1404,1404
76,704,1422,1422
77,672,1440,1440
78,672,1458,1458
79,672,1476,1476
80,672,1494,1494
81,672,1512,1512
82,640,1530,1530
83,704,1548,1548
84,672,1566,1566
85,928,1584,1584
86,672,1602,1602
87,672,1620,1620
88,672,1638,1638
89,672,1656,1656
90,672,1674,1674
91,672,1692,1692
92,672,1710,1710
93,672,1728,1728
94,672,1746,1746
95,672,1764,1764
96,672,1782,1782
97,672,1800,1800
98,672,1818,1818
99,672,1836,1836
100,672,1854,1854
101,672,1872,1872
102,928,1890,1890
103,672,1908,1908
104,704,1926,1926
105,672,1944,1944
106,672,1962,1962
107,672,1980,1980
108,864,1998,1998
109,672,2016,2016
110,704,2034,2034
111,672,2052,2052
112,672,2070,2070
113,672,2088,2088
114,672,2106,2106
115,672,2124,2124
116,672,2142,2142
117,672,2160,2160
118,672,2178,2178
119,896,2196,2196
120,672,2214,2214
121,672,2232,2232
122,704,2250,2250
123,672,2268,2268
124,672,2286,2286
125,864,2304,2304
126,672,2322,2322
127,704,2340,2340
128,704,2358,2358
129,672,2376,2376
130,672,2394,2394
131,672,2412,2412
132,672,2430,2430
133,672,2448,2448
134,672,2466,2466
135,640,2484,2484
136,672,2502,2502
137,672,2520,2520
138,672,2538,2538
139,672,2556,2556
140,672,2574,2574
141,672,2592,2592
142,800,2610,2610
143,672,2628,2628
144,672,2646,2646
145,672,2664,2664
146,672,2682,2682
147,672,2700,2700
148,672,2718,2718
149,672,2736,2736
150,672,2754,2754
151,672,2772,2772
152,672,2790,2790
153,672,2808,2808
154,672,2826,2826
155,672,2844,2844
156,672,2862,2862
157,672,2880,2880
158,672,2898,2898
159,672,2916,2916
160,640,2934,2934
161,672,2952,2952
162,672,2970,2970
163,704,2988,2988
164,704,3006,3006
165,672,3024,3024
166,672,3042,3042
167,672,3060,3060
168,672,3078,3078
169,672,3096,3096
170,672,3114,3114
171,672,3132,3132
172,672,3150,3150
173,672,3168,3168
174,672,3186,3186
175,672,3204,3204
176,672,3222,3222
177,736,3240,3240
178,672,3258,3258
179,672,3276,3276
180,672,3294,3294
181,672,3312,3312
182,672,3330,3330
183,672,3348,3348
184,672,3366,3366
185,672,3384,3384
186,672,3402,3402
187,672,3420,3420
188,672,3438,3438
189,704,3456,3456
190,672,3474,3474
191,672,3492,3492
192,672,3510,3510
193,704,3528,3528
194,672,3546,3546
195,672,3564,3564
196,672,3582,3582
197,704,3600,3600
198,672,3618,3618
199,672,3636,3636
200,672,3654,3654
201,672,3672,3672
202,672,3690,3690
203,704,3708,3708
204,672,3726,3726
205,672,3744,3744
206,672,3762,3762
207,704,3780,3780
208,704,3798,3798
209,672,3816,3816
210,672,3834,3834
211,672,3852,3852
212,672,3870,3870
213,672,3888,3888
214,672,3906,3906
215,672,3924,3924
216,672,3942,3942
217,864,3960,3960
218,704,3978,3978
219,672,3996,3996
220,704,4014,4014
221,704,4032,4032
222,672,4050,4050
223,672,4068,4068
224,672,4086,4086
225,672,4104,4104
226,672,4122,4122
227,672,4140,4140
228,672,4158,4158
229,672,4176,4176
230,672,4194,4194
231,672,4212,4212
232,672,4230,4230
233,672,4248,4248
234,672,4266,4266
235,672,4284,4284
236,672,4302,4302
237,672,4320,4320
238,672,4338,4338
239,672,4356,4356
240,672,4374,4374
241,704,4392,4392
242,704,4410,4410
243,672,4428,4428
244,672,4446,4446
245,672,4464,4464
246,672,4482,4482
247,672,4500,4500
248,672,4518,4518
249,672,4536,4536
250,672,4554,4554
251,672,4572,4572
252,672,4590,4590
253,672,4608,4608
254,672,4626,4626
255,672,4644,4644
256,672,4662,4662
257,672,4680,4680
258,672,4698,4698
259,704,4716,4716
260,672,4734,4734
261,672,4752,4752
262,672,4770,4770
263,672,4788,4788
264,704,4806,4806
265,672,4824,4824
266,672,4842,4842
267,672,4860,4860
268,672,4878,4878
269,672,4896,4896
270,672,4914,4914
271,672,4932,4932
272,672,4950,4950
273,672,4968,4968
274,672,4986,4986
275,672,5004,5004
276,672,5022,5022
277,672,5040,5040
278,672,5058,5058
279,672,5076,5076
280,672,5094,5094
281,672,5112,5112
282,640,5130,5130
283,704,5148,5148
284,672,5166,5166
285,672,5184,5184
286,640,5202,5202
287,672,5220,5220
288,672,5238,5238
289,672,5256,5256
290,704,5274,5274
291,704,5292,5292
292,672,5310,5310
293,800,5328,5328
294,704,5346,5346
295,672,5364,5364
296,672,5382,5382
297,640,5400,5400
298,672,5418,5418
299,704,5436,5436
300,6208,5454,5454
301,672,5472,5472
302,672,5490,5490
303,704,5508,5508
304,704,5526,5526
305,672,5544,5544
306,672,5562,5562
307,832,5580,5580
308,672,5598,5598
309,672,5616,5616
310,672,5634,5634
311,704,5652,5652
312,704,5670,5670
313,640,5688,5688
314,672,5706,5706
315,672,5724,5724
316,672,5742,5742
317,672,5760,5760
318,672,5778,5778
319,672,5796,5796
320,672,5814,5814
321,672,5832,5832
322,704,5850,5850
323,672,5868,5868
324,672,5886,5886
325,672,5904,5904
326,672,5922,5922
327,672,5940,5940
328,672,5958,5958
329,672,5976,5976
330,672,5994,5994
331,672,6012,6012
332,672,6030,6030
333,672,6048,6048
334,640,6066,6066
335,672,6084,6084
336,640,6102,6102
337,704,6120,6120
338,672,6138,6138
339,672,6156,6156
340,672,6174,6174
341,768,6192,6192
342,672,6210,6210
343,672,6228,6228
344,672,6246,6246
345,672,6264,6264
